event_timestamp,type,peer,details_totalPeers,details_avgScore,details_bannedPeers,details_disconnectedPeers,details_healthyPeers,details_bannedPercent,details_disconnectedPercent,details_needMorePeers,details_willDisconnect,details_disconnectReasons,details_attnetQueries,details_syncnetQueries,details_custodyQueries,details_isStarved,details_starvedSlots,details_headSlotGap,details_currentSlot,details_peerHeadSlot,details_peersToConnect,details_custodyGroups
2026-01-07T20:02:06.495Z,PEER_STATUS,16Uiu2HAmPt7ihNAGF3642nEv2nis1q7opMxP8N5P9vCbySn8D4k8,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:02:06.495Z,PEER_STATUS,16Uiu2HAmPt7ihNAGF3642nEv2nis1q7opMxP8N5P9vCbySn8D4k8,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:02:08.004Z,RPC_OUT_REQUEST,16Uiu2HAkyfeMhq41GjS8b9Lhjc5knEVTRrKgByx5R7hxvscrfk4n,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:02:08.722Z,RPC_OUT_REQUEST,16Uiu2HAkyfeMhq41GjS8b9Lhjc5knEVTRrKgByx5R7hxvscrfk4n,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:02:09.234Z,BEACON_AGGREGATE_AND_PROOF_RECEIVED,unknown,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:02:09.234Z,VALIDATOR_IDENTIFIED_AGGREGATOR,unknown,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:02:10.443Z,VALIDATOR_IDENTIFIED_SYNC_AGGREGATOR,unknown,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:02:10.443Z,VALIDATOR_IDENTIFIED_SYNC_AGGREGATOR,unknown,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:02:10.443Z,VALIDATOR_IDENTIFIED_SYNC_AGGREGATOR,unknown,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:02:10.443Z,VALIDATOR_IDENTIFIED_SYNC_AGGREGATOR,unknown,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:02:10.444Z,VALIDATOR_IDENTIFIED_SYNC_AGGREGATOR,unknown,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:02:10.444Z,VALIDATOR_IDENTIFIED_SYNC_AGGREGATOR,unknown,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:02:10.444Z,VALIDATOR_IDENTIFIED_SYNC_AGGREGATOR,unknown,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:02:10.444Z,VALIDATOR_IDENTIFIED_SYNC_AGGREGATOR,unknown,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:02:12.314Z,DATA_COLUMN_SIDECAR_RECEIVED,16Uiu2HAkyfeMhq41GjS8b9Lhjc5knEVTRrKgByx5R7hxvscrfk4n,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:02:12.498Z,RPC_OUT_REQUEST,16Uiu2HAmPt7ihNAGF3642nEv2nis1q7opMxP8N5P9vCbySn8D4k8,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:02:12.492Z,BEACON_BLOCK_RECEIVED,16Uiu2HAkyfeMhq41GjS8b9Lhjc5knEVTRrKgByx5R7hxvscrfk4n,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:02:12.494Z,VALIDATOR_IDENTIFIED_PROPOSER,16Uiu2HAkyfeMhq41GjS8b9Lhjc5knEVTRrKgByx5R7hxvscrfk4n,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:02:12.660Z,DATA_COLUMN_SIDECAR_RECEIVED,16Uiu2HAkyfeMhq41GjS8b9Lhjc5knEVTRrKgByx5R7hxvscrfk4n,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:02:12.660Z,DATA_COLUMN_SIDECAR_RECEIVED,16Uiu2HAkyfeMhq41GjS8b9Lhjc5knEVTRrKgByx5R7hxvscrfk4n,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:02:12.668Z,DATA_COLUMN_SIDECAR_RECEIVED,16Uiu2HAkyfeMhq41GjS8b9Lhjc5knEVTRrKgByx5R7hxvscrfk4n,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:02:12.671Z,DATA_COLUMN_SIDECAR_RECEIVED,16Uiu2HAkyfeMhq41GjS8b9Lhjc5knEVTRrKgByx5R7hxvscrfk4n,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:02:12.891Z,DATA_COLUMN_SIDECAR_RECEIVED,16Uiu2HAmPt7ihNAGF3642nEv2nis1q7opMxP8N5P9vCbySn8D4k8,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:02:17.073Z,DIAL_CHECK_START,16Uiu2HAmSiTdL3anbmHSTkStNusahPRVxEukm5sBtH4qRpuoQZ9C,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:02:17.073Z,DIAL_ATTEMPT_START,16Uiu2HAmSiTdL3anbmHSTkStNusahPRVxEukm5sBtH4qRpuoQZ9C,,,,,,,,,,,,,,,,,,,203.0,
2026-01-07T20:02:17.073Z,DISCOVERY_DIAL_DECISION,16Uiu2HAmSiTdL3anbmHSTkStNusahPRVxEukm5sBtH4qRpuoQZ9C,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:02:17.075Z,DIAL_CHECK_START,16Uiu2HAmSiTdL3anbmHSTkStNusahPRVxEukm5sBtH4qRpuoQZ9C,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:02:17.075Z,DIAL_ATTEMPT_START,16Uiu2HAmSiTdL3anbmHSTkStNusahPRVxEukm5sBtH4qRpuoQZ9C,,,,,,,,,,,,,,,,,,,202.0,
2026-01-07T20:02:17.075Z,DISCOVERY_DIAL_DECISION,16Uiu2HAmSiTdL3anbmHSTkStNusahPRVxEukm5sBtH4qRpuoQZ9C,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:02:18.775Z,PROTOCOL_NEGOTIATED,16Uiu2HAkyfeMhq41GjS8b9Lhjc5knEVTRrKgByx5R7hxvscrfk4n,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:02:18.953Z,RPC_IN_REQUEST,16Uiu2HAkyfeMhq41GjS8b9Lhjc5knEVTRrKgByx5R7hxvscrfk4n,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:02:18.953Z,RPC_OUT_RESPONSE,16Uiu2HAkyfeMhq41GjS8b9Lhjc5knEVTRrKgByx5R7hxvscrfk4n,,,,,,,,,,,,,,,,,,,,
